ScientificName,AphiaID,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Species
Vomer setapinnis,159647,Selene setapinnis,Animalia,Chordata,Actinopteri,Carangiformes,Carangidae,Vomer,setapinnis
Secutor insidiator,1526390,Deveximentum insidiator,Animalia,Chordata,Actinopteri,Acanthuriformes,Leiognathidae,Secutor,insidiator
Potamon potamios,442960,Potamon potamios,Animalia,Arthropoda,Malacostraca,Decapoda,Potamidae,Potamon,potamios
Spiralothelphusa hydrodroma,440828,Spiralothelphusa hydrodroma,Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Spiralothelphusa,hydrodroma
Trigloporus lastoviza,127261,Chelidonichthys lastoviza,Animalia,Chordata,Actinopteri,Perciformes,Triglidae,Trigloporus,lastoviza
Chrysophrys haffara,,,,,,,,,
Liza haematocheila,1509599,Planiliza haematocheilus,Animalia,Chordata,Actinopteri,Mugiliformes,Mugilidae,Liza,haematocheila
Nostoc flagelliforme,700733,Nostoc flagelliforme,Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Nostoc,flagelliforme
Centropristes striata,159348,Centropristis striata,Animalia,Chordata,Actinopteri,Perciformes,Serranidae,Centropristis,striata
Hemirhamphus marginatus,220013,Hemiramphus marginatus,Animalia,Chordata,Actinopteri,Beloniformes,Hemiramphidae,Hemirhamphus,marginatus
Paratelphusa lamellifrons,440546,Lamella lamellifrons,Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Paratelphusa,lamellifrons
Batillus cornutus,,,,,,,,,
Mytillus edulis,600490,Perumytilus purpuratus,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,exilis
Navodon modestus,277210,Thamnaconus modestus,Animalia,Chordata,Actinopteri,Tetraodontiformes,Monacanthidae,Navodon,modestus
Nordotis discus,,,,,,,,,
Onchorhynchus kisutch,127184,Oncorhynchus kisutch,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,kisutch
Pseudosciaena polyactis,281273,Larimichthys polyactis,Animalia,Chordata,Actinopteri,Eupercaria,Sciaenidae,Pseudosciaena,polyactis
