sci_name,genus,family,order,class,phylum,
nizamuddinia zanardinii,nizamuddinia,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
padina australis,padina,dictyotaceae,dictyotales,phaeophyceae,ochrophyta,chromista
padina boryana,padina,dictyotaceae,dictyotales,phaeophyceae,ochrophyta,chromista
pelvetia canaliculata,pelvetia,fucaceae,fucales,phaeophyceae,ochrophyta,chromista
petalonia fascia,petalonia,scytosiphonaceae,ectocarpales,phaeophyceae,ochrophyta,chromista
punctaria latifolia,punctaria,chordariaceae,ectocarpales,phaeophyceae,ochrophyta,chromista
saccharina japonica,saccharina,laminariaceae,laminariales,phaeophyceae,ochrophyta,chromista
saccharina latissima,saccharina,laminariaceae,laminariales,phaeophyceae,ochrophyta,chromista
saccorhiza polyschides,saccorhiza,phyllariaceae,tilopteridales,phaeophyceae,ochrophyta,chromista
sargassum aquifolium,sargassum,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
sargassum echinocarpum,sargassum,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
sargassum filipendula,sargassum,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
sargassum hemiphyllum,sargassum,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
sargassum henslowianum,sargassum,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
sargassum horneri,sargassum,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
sargassum ilicifolium,sargassum,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
sargassum linearifolium,sargassum,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
sargassum obtusifolium,sargassum,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
sargassum oligocystum,sargassum,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
sargassum pallidum,sargassum,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
sargassum polycystum,sargassum,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
sargassum swartzii,sargassum,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
sargassum thunbergii,sargassum,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
scytosiphon lomentaria,scytosiphon,scytosiphonaceae,ectocarpales,phaeophyceae,ochrophyta,chromista
sirophysalis trinodis,sirophysalis,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
spatoglossum asperum,spatoglossum,dictyotaceae,dictyotales,phaeophyceae,ochrophyta,chromista
stypopodium schimperi,stypopodium,dictyotaceae,dictyotales,phaeophyceae,ochrophyta,chromista
turbinaria conoides,turbinaria,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
halidrys siliquosa,halidrys,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
alaria esculenta,alaria,alariaceae,laminariales,phaeophyceae,ochrophyta,chromista
laminaria hyperborea,laminaria,laminariaceae,laminariales,phaeophyceae,ochrophyta,chromista
chnoospora minima,chnoospora,scytosiphonaceae,ectocarpales,phaeophyceae,ochrophyta,chromista
dictyota menstrualis,dictyota,dictyotaceae,dictyotales,phaeophyceae,ochrophyta,chromista
chorda filum,chorda,chordaceae,laminariales,phaeophyceae,ochrophyta,chromista
desmarestia aculeata,desmarestia,desmarestiaceae,desmarestiales,phaeophyceae,ochrophyta,chromista
sphacelaria cirrosa,sphacelaria,sphacelariaceae,sphacelariales,phaeophyceae,ochrophyta,chromista
chordaria flagelliformis,chordaria,chordariaceae,ectocarpales,phaeophyceae,ochrophyta,chromista
zonaria tournefortii,zonaria,dictyotaceae,dictyotales,phaeophyceae,ochrophyta,chromista
cystoseira myrica,cystoseira,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
dictyota sp.,dictyota,dictyotaceae,dictyotales,phaeophyceae,ochrophyta,chromista
sargassum cristaefolium,sargassum,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
sargassum sp.,sargassum,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
durvillaea antarctica,durvillaea,durvillaeaceae,fucales,phaeophyceae,ochrophyta,chromista
hormophysa cuneiformis,hormophysa,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
sargassum elegans,sargassum,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
alaria marginata,alaria,alariaceae,laminariales,phaeophyceae,ochrophyta,chromista
macrocystis integrifolia,macrocystis,laminariaceae,laminariales,phaeophyceae,ochrophyta,chromista
halopteris filicina,halopteris,stypocaulaceae,sphacelariales,phaeophyceae,ochrophyta,chromista
halopteris scoparia,halopteris,stypocaulaceae,sphacelariales,phaeophyceae,ochrophyta,chromista
sargassum fluitans,sargassum,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
ecklonia cava,ecklonia,lessoniaceae,laminariales,phaeophyceae,ochrophyta,chromista
eckloniopsis radicosa,eckloniopsis,lessoniaceae,laminariales,phaeophyceae,ochrophyta,chromista
sargassum piluliferum,sargassum,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
lessonia corrugata,lessonia,lessoniaceae,laminariales,phaeophyceae,ochrophyta,chromista
bifurcaria bifurcate,bifurcaria,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
dictyota dicotoma,dictyota,dictyotaceae,dictyotales,phaeophyceae,ochrophyta,chromista
turbinaria spp.,turbinaria,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
cystoseira stricta,cystoseira,sargassaceae,fucales,phaeophyceae,ochrophyta,chromista
dictyopteris divaricate,dictyopteris,dictyotaceae,dictyotales,phaeophyceae,ochrophyta,chromista
